Round,Code Changes,Rationale
1,"Added strict requirements to explicitly enforce the Huisvestingsverordening 2024, dynamically conditionalize future penalty warnings based on the required verdict, integrate contextual details without rigid headings, and conditionally skip the HEARING INFO section if empty. Explicitly authorized text reuse from reference cases.","These changes directly resolve critical factual and legal errors from early feedback where the model applied outdated laws, included redundant deterrent warnings for successful citizen appeals, or generated empty header placeholders."
2,"Integrated a MOTIVATION DENSITY instruction into the user_prompt requiring the model to connect every citizen argument explicitly to the ordinance using punchy, dense sentences.","This ensures the core legal reasoning is never skipped while intentionally reducing bureaucratic redundancy and filler words to save the citizen's time."
3,"Removed the instructions for compact/punchy phrasing, replaced them with a mandatory requirement for full, grammatically rich sentences, and restricted point-by-point formatting exclusively to the evaluation section.","Extremely compact writing was causing letters to become too short and lose crucial legal depth; bounding lists to the evaluation section restored a professional narrative flow across the rest of the letter."
4,"Implemented strict thematic subheadings (e.g., '### Vergunningplicht') inside the considerations, enforced an absolute verbatim FACTUAL ANCHORING rule banning placeholders, and explicitly limited legal logic to Amsterdam.","This mirrors the tight layout of authentic municipal documents and stops the model from dropping essential dossier elements (like dates and report names) or hallucinating neighboring municipalities."
5,"Transitioned from a single static prompt to a universal base prompt combined with an automated structure script that loads dynamic domain rules from an external JSON file (amsterdam_domein_regels.json) using a substring-matching router on the case metadata subject.","Vacation Rental and Housing Allocation represent fundamentally different operational logic; separating them into a dynamic JSON prevents model instruction overload and cross-domain text contamination."
6,"Injected a rigid array of mandatory headings ({headings}) and a strict list of exact municipal phrases ({sentences}) directly parsed from the loaded JSON dataset.","Replacing vague prompt formatting requests with explicit template variables forces the model to construct exact native paragraphs around pre-approved municipal phrasing."
7,"Softened the instructional constraints by switching absolute layout commands into an auxiliary guidance framework ('DOMAIN STYLE GUIDE (USE AS REFERENCE/HOUVAST)') where layout rules are mapped sequentially with chronological arrows.","This addresses 'instruction choking' caused by over-constrained prompt configurations, granting the AI the necessary linguistic flexibility to form natural prose transitions while retaining a standard narrative trajectory."
8,"Connected the missing practical_consequences_layout key from the domain data file and added a strict '6. MANDATORY CLOSING' instruction directly mapping it into the prompt workflow.","The prompt previously lacked instructions on how to handle endings, meaning the model frequently omitted the legally vital six-week formal appeal clause and court references."
9,"Added a heavily emphasized 'INTEGRATE OBJECTIONS FULLY (CRITICAL)' parameter and built-in professional text-based workarounds (like using 'betrokkene') if specific variables are missing from the data stream.","This blocks the model's natural tendency to aggressively summarize or generate unpopulated brackets, forcing a highly specific and legally protective response to every individual citizen grievance."
10,"Stripped away a massive amount of secondary guidance text to isolate three hyper-focused execution priorities: chronological timeline verification, active data extraction, and complete objection refutation.","Cleaning out the text clutter was an experimental step to check if minimizing instruction length would reduce attention drift and increase data density."
11,"Restored the structural base instructions from Round 9 but re-positioned the explicit data extraction requirements directly between the input data block and the domain style guide framework.","Bringing back the execution constraints proved necessary to stop the model from prioritizing style rules over actual reference case logic."
12,"An option in the Python script was enabled to dynamically look for a 'legal_assessment_framework' key in the rules_per_domain.json and inject it. Added Instruction 4 (STRUCTURED LEGAL REASONING) forcing a logical legal assessment progression (Main Rule -> Exceptions -> Hardship) and Instruction 5 (HUMAN MEASURE) to dynamically capture emotional or personal hardships conditionally.","This acts as a domain-agnostic 'Chain-of-Thought' layout, systematically preventing the model from jumping straight to conclusions or missing discretionary hardships in complex datasets."
13,"This round kept the prompt structure identical to Round 12 but updated the upstream RAG data chunking script to protect bulleted list items, enforce title-casing on text headers, and expand matching keyword routing arrays.","These modifications resolve underlying data extraction bottlenecks by preventing messy document phone logs and fragmented sentences from being falsely split or misclassified as section headers."
14,"Established a multi-stage 'Scratchpad' architecture by forcing the system to isolate its output into two mandatory XML tags: PART 1: <legal_analysis> and PART 2: <final_letter>.","Splitting processing steps solves model cognitive overload; separating factual extraction logic from drafting instructions creates a closed source of truth that completely blocks factual hallucinations."
15,"Fully translated the prompt infrastructure, user instructions, and scratchpad queries into English, while adding a strict rule specifying that the final generated output letter must be compiled in formal Dutch.","Large language models maintain much higher processing attention and accuracy metrics when interpreting complex formatting and logical filters in English, preventing instruction choking."
16,"Upgraded the system persona to a 'highly precise legal officer', integrated a combined-string domain substring router (scanning subject + metadata + context), established an explicit processing order, and implemented layout rules to dictate exactly when to hide or use explicit markdown headings.","Checking combined text avoids metadata routing failures, upgrading the identity weights tokens toward authoritative legal language, setting explicit execution orders enforces a solid administrative standard, and the split layout rules mirror the authentic layout of physical municipal documents."
